Payment Mode,Quarter,State,Total Amount,Total Transactions count,Year
Peer-to-peer payments,2,assam,51521387890.612526,11668399.0,2021
Recharge & bill payments,2,assam,2657676415.2458973,9058005.0,2021
Merchant payments,2,assam,4914753140.040101,4562669.0,2021
Financial Services,2,assam,46106001.4981417,49671.0,2021
Others,2,assam,52549929.26715793,94161.0,2021
Peer-to-peer payments,3,assam,64131823895.23546,15617592.0,2021
Recharge & bill payments,3,assam,3248364164.198426,10284267.0,2021
Merchant payments,3,assam,8208706348.034584,7431371.0,2021
Financial Services,3,assam,43889820.49598975,39479.0,2021
Others,3,assam,67715045.34317216,131732.0,2021
Peer-to-peer payments,4,assam,86801625126.53499,21393962.0,2021
Merchant payments,4,assam,13378765005.90518,12895755.0,2021
Recharge & bill payments,4,assam,3842004488.3733187,11484376.0,2021
Financial Services,4,assam,65456475.82619133,60724.0,2021
Others,4,assam,97116796.57575196,185544.0,2021
Peer-to-peer payments,1,assam,108855352347.44861,27156085.0,2022
Merchant payments,1,assam,18833132506.02235,19011883.0,2022
Recharge & bill payments,1,assam,4424035840.366192,12474674.0,2022
Financial Services,1,assam,73257991.39188361,68432.0,2022
Others,1,assam,94659207.47378007,178812.0,2022
Peer-to-peer payments,2,assam,123829913105.31839,33879530.0,2022
Merchant payments,2,assam,24333260089.82686,28377534.0,2022
Recharge & bill payments,2,assam,4814695679.877083,13858113.0,2022
Financial Services,2,assam,55549153.74320389,50785.0,2022
Others,2,assam,77624058.0178437,168763.0,2022
Peer-to-peer payments,3,assam,127264703851.96631,37000266.0,2022
Merchant payments,3,assam,28789992307.1612,34935460.0,2022
Recharge & bill payments,3,assam,5295136932.037907,13974568.0,2022
Financial Services,3,assam,62882386.459812224,65066.0,2022
Others,3,assam,76363577.2732331,138451.0,2022
Peer-to-peer payments,4,assam,150693397669.1831,44828832.0,2022
Merchant payments,4,assam,36033810141.57484,43605784.0,2022
Recharge & bill payments,4,assam,5773980885.270762,15344794.0,2022
