Place Name,Quarter,State,Total Amount,Total Transactions count,Year
spsr nellore district,3,andhra-pradesh,95099325968.25972,42116582.0,2022
vizianagaram district,3,andhra-pradesh,42513313394.84207,20440645.0,2022
visakhapatnam district,3,andhra-pradesh,181124419863.6144,97434546.0,2022
prakasam district,3,andhra-pradesh,87475230073.46388,35376080.0,2022
anantapur district,3,andhra-pradesh,97735649608.10074,45165363.0,2022
ysr district,3,andhra-pradesh,86016932181.12372,33119038.0,2022
west godavari district,3,andhra-pradesh,101706854744.31871,43635951.0,2022
kurnool district,3,andhra-pradesh,88415335176.31995,39557913.0,2022
chittoor district,3,andhra-pradesh,133053581631.6395,65751781.0,2022
guntur district,3,andhra-pradesh,141588522953.2377,65612317.0,2022
krishna district,3,andhra-pradesh,153770559025.69122,71051144.0,2022
east godavari district,4,andhra-pradesh,136531110139.8625,68016055.0,2022
srikakulam district,4,andhra-pradesh,47726411107.886284,23693779.0,2022
spsr nellore district,4,andhra-pradesh,92085916180.6851,42582064.0,2022
vizianagaram district,4,andhra-pradesh,44467386404.34759,22205190.0,2022
visakhapatnam district,4,andhra-pradesh,185306149744.73102,103790055.0,2022
prakasam district,4,andhra-pradesh,88105031866.36835,37211077.0,2022
anantapur district,4,andhra-pradesh,101533878537.2343,48299601.0,2022
ysr district,4,andhra-pradesh,87360426792.81667,35201596.0,2022
west godavari district,4,andhra-pradesh,105335724990.5932,47919930.0,2022
kurnool district,4,andhra-pradesh,94667441029.08345,43524766.0,2022
chittoor district,4,andhra-pradesh,136840859888.1815,70322534.0,2022
guntur district,4,andhra-pradesh,146938735166.5236,70723763.0,2022
krishna district,4,andhra-pradesh,157826011193.3544,76526667.0,2022
lower dibang valley district,1,arunachal-pradesh,1076236.814073793,1356.0,2018
lower subansiri district,1,arunachal-pradesh,3650727.893614269,1477.0,2018
longding district,1,arunachal-pradesh,4361531.578447229,2321.0,2018
west siang district,1,arunachal-pradesh,4796675.565399804,1887.0,2018
kamle district,1,arunachal-pradesh,7971.330494807651,14.0,2018
upper siang district,1,arunachal-pradesh,186610.66988095018,126.0,2018
tirap district,1,arunachal-pradesh,1064265.0002443574,945.0,2018
papum pare district,1,arunachal-pradesh,32555848.46233147,14224.0,2018
kurung kumey district,1,arunachal-pradesh,99416.58027150274,84.0,2018
siang district,1,arunachal-pradesh,339471.80434222345,252.0,2018
lower siang district,1,arunachal-pradesh,2337960.7148240386,1292.0,2018
