App Openings,Place Name,Quarter,Registered Users Count,State,Year
188757640.0,visakhapatnam district,4,2888774.0,andhra-pradesh,2021
86410317.0,prakasam district,4,1325728.0,andhra-pradesh,2021
120768682.0,anantapur district,4,1719437.0,andhra-pradesh,2021
97379271.0,kurnool district,4,1628242.0,andhra-pradesh,2021
130920743.0,guntur district,4,2252443.0,andhra-pradesh,2021
134436469.0,krishna district,4,2288148.0,andhra-pradesh,2021
90814672.0,spsr nellore district,4,1349290.0,andhra-pradesh,2021
56101822.0,vizianagaram district,4,839606.0,andhra-pradesh,2021
83534122.0,ysr district,4,1262963.0,andhra-pradesh,2021
100007280.0,west godavari district,4,1532898.0,andhra-pradesh,2021
154395512.0,chittoor district,4,2141818.0,andhra-pradesh,2021
87134562.0,east godavari district,1,2432305.0,andhra-pradesh,2022
46691467.0,srikakulam district,1,1027283.0,andhra-pradesh,2022
88803090.0,visakhapatnam district,1,3061324.0,andhra-pradesh,2022
104851997.0,prakasam district,1,1408929.0,andhra-pradesh,2022
155792533.0,anantapur district,1,1827094.0,andhra-pradesh,2022
119653214.0,kurnool district,1,1729513.0,andhra-pradesh,2022
88844052.0,guntur district,1,2387051.0,andhra-pradesh,2022
85871644.0,krishna district,1,2423373.0,andhra-pradesh,2022
101671767.0,spsr nellore district,1,1431664.0,andhra-pradesh,2022
44804002.0,vizianagaram district,1,892889.0,andhra-pradesh,2022
98878499.0,ysr district,1,1339782.0,andhra-pradesh,2022
87642475.0,west godavari district,1,1626039.0,andhra-pradesh,2022
144146671.0,chittoor district,1,2270705.0,andhra-pradesh,2022
93383888.0,east godavari district,2,2564165.0,andhra-pradesh,2022
51087942.0,srikakulam district,2,1086164.0,andhra-pradesh,2022
93552701.0,visakhapatnam district,2,3226029.0,andhra-pradesh,2022
108172758.0,prakasam district,2,1487589.0,andhra-pradesh,2022
181499094.0,anantapur district,2,1928213.0,andhra-pradesh,2022
136447455.0,kurnool district,2,1825280.0,andhra-pradesh,2022
91997209.0,guntur district,2,2514794.0,andhra-pradesh,2022
95341487.0,krishna district,2,2552107.0,andhra-pradesh,2022
108755384.0,spsr nellore district,2,1509927.0,andhra-pradesh,2022
50230853.0,vizianagaram district,2,943242.0,andhra-pradesh,2022
106157470.0,ysr district,2,1412848.0,andhra-pradesh,2022
103338893.0,west godavari district,2,1714357.0,andhra-pradesh,2022
158771722.0,chittoor district,2,2392549.0,andhra-pradesh,2022
85780890.0,east godavari district,3,2702234.0,andhra-pradesh,2022
46323107.0,srikakulam district,3,1147016.0,andhra-pradesh,2022
87888969.0,visakhapatnam district,3,3397514.0,andhra-pradesh,2022
114185009.0,prakasam district,3,1567520.0,andhra-pradesh,2022
181038520.0,anantapur district,3,2030824.0,andhra-pradesh,2022
143715547.0,kurnool district,3,1924127.0,andhra-pradesh,2022
91146114.0,guntur district,3,2647100.0,andhra-pradesh,2022
86220959.0,krishna district,3,2685215.0,andhra-pradesh,2022
105928407.0,spsr nellore district,3,1588875.0,andhra-pradesh,2022
46767889.0,vizianagaram district,3,995141.0,andhra-pradesh,2022
107976611.0,ysr district,3,1487140.0,andhra-pradesh,2022
97509407.0,west godavari district,3,1805967.0,andhra-pradesh,2022
162524274.0,chittoor district,3,2517657.0,andhra-pradesh,2022
173720880.0,east godavari district,4,2835087.0,andhra-pradesh,2022
72666058.0,srikakulam district,4,1204785.0,andhra-pradesh,2022
208604256.0,visakhapatnam district,4,3566854.0,andhra-pradesh,2022
94432083.0,prakasam district,4,1642503.0,andhra-pradesh,2022
136685634.0,anantapur district,4,2128066.0,andhra-pradesh,2022
105333688.0,kurnool district,4,2018290.0,andhra-pradesh,2022
144773169.0,guntur district,4,2774365.0,andhra-pradesh,2022
156902257.0,krishna district,4,2813645.0,andhra-pradesh,2022
103101986.0,spsr nellore district,4,1663684.0,andhra-pradesh,2022
64406405.0,vizianagaram district,4,1044490.0,andhra-pradesh,2022
93975668.0,ysr district,4,1556901.0,andhra-pradesh,2022
129116752.0,west godavari district,4,1893310.0,andhra-pradesh,2022
189655966.0,chittoor district,4,2636036.0,andhra-pradesh,2022
0.0,lower subansiri district,1,498.0,arunachal-pradesh,2018
0.0,tirap district,1,557.0,arunachal-pradesh,2018
0.0,papum pare district,1,7649.0,arunachal-pradesh,2018
0.0,anjaw district,1,278.0,arunachal-pradesh,2018
0.0,lower siang district,1,270.0,arunachal-pradesh,2018
0.0,dibang valley district,1,66.0,arunachal-pradesh,2018
0.0,west kameng district,1,2202.0,arunachal-pradesh,2018
0.0,shi yomi district,1,49.0,arunachal-pradesh,2018
0.0,east kameng district,1,222.0,arunachal-pradesh,2018
0.0,lohit district,1,1207.0,arunachal-pradesh,2018
0.0,lepa rada district,1,210.0,arunachal-pradesh,2018
0.0,lower dibang valley district,1,601.0,arunachal-pradesh,2018
0.0,longding district,1,256.0,arunachal-pradesh,2018
0.0,west siang district,1,846.0,arunachal-pradesh,2018
0.0,kamle district,1,22.0,arunachal-pradesh,2018
0.0,upper siang district,1,301.0,arunachal-pradesh,2018
0.0,kurung kumey district,1,97.0,arunachal-pradesh,2018
0.0,siang district,1,192.0,arunachal-pradesh,2018
0.0,kra daadi district,1,88.0,arunachal-pradesh,2018
0.0,changlang district,1,1208.0,arunachal-pradesh,2018
0.0,pakke kessang district,1,39.0,arunachal-pradesh,2018
0.0,east siang district,1,1803.0,arunachal-pradesh,2018
0.0,upper subansiri district,1,572.0,arunachal-pradesh,2018
0.0,tawang district,1,1525.0,arunachal-pradesh,2018
0.0,namsai district,1,737.0,arunachal-pradesh,2018
0.0,lower subansiri district,2,724.0,arunachal-pradesh,2018
0.0,tirap district,2,856.0,arunachal-pradesh,2018
0.0,papum pare district,2,11418.0,arunachal-pradesh,2018
0.0,anjaw district,2,410.0,arunachal-pradesh,2018
0.0,lower siang district,2,494.0,arunachal-pradesh,2018
0.0,dibang valley district,2,112.0,arunachal-pradesh,2018
0.0,west kameng district,2,3442.0,arunachal-pradesh,2018
0.0,shi yomi district,2,80.0,arunachal-pradesh,2018
0.0,east kameng district,2,343.0,arunachal-pradesh,2018
0.0,lohit district,2,1898.0,arunachal-pradesh,2018
0.0,lepa rada district,2,318.0,arunachal-pradesh,2018
0.0,lower dibang valley district,2,893.0,arunachal-pradesh,2018
0.0,longding district,2,412.0,arunachal-pradesh,2018
0.0,west siang district,2,1224.0,arunachal-pradesh,2018
0.0,kamle district,2,37.0,arunachal-pradesh,2018
0.0,upper siang district,2,481.0,arunachal-pradesh,2018
0.0,kurung kumey district,2,153.0,arunachal-pradesh,2018
0.0,siang district,2,293.0,arunachal-pradesh,2018
0.0,kra daadi district,2,144.0,arunachal-pradesh,2018
0.0,changlang district,2,2014.0,arunachal-pradesh,2018
0.0,pakke kessang district,2,66.0,arunachal-pradesh,2018
0.0,east siang district,2,2646.0,arunachal-pradesh,2018
0.0,upper subansiri district,2,883.0,arunachal-pradesh,2018
0.0,tawang district,2,2266.0,arunachal-pradesh,2018
0.0,namsai district,2,1276.0,arunachal-pradesh,2018
0.0,lower subansiri district,3,1033.0,arunachal-pradesh,2018
0.0,tirap district,3,1226.0,arunachal-pradesh,2018
0.0,papum pare district,3,16009.0,arunachal-pradesh,2018
0.0,anjaw district,3,542.0,arunachal-pradesh,2018
0.0,lower siang district,3,717.0,arunachal-pradesh,2018
0.0,dibang valley district,3,145.0,arunachal-pradesh,2018
0.0,west kameng district,3,4765.0,arunachal-pradesh,2018
0.0,shi yomi district,3,118.0,arunachal-pradesh,2018
0.0,east kameng district,3,521.0,arunachal-pradesh,2018
0.0,lohit district,3,2612.0,arunachal-pradesh,2018
0.0,lepa rada district,3,431.0,arunachal-pradesh,2018
0.0,lower dibang valley district,3,1286.0,arunachal-pradesh,2018
0.0,longding district,3,644.0,arunachal-pradesh,2018
0.0,west siang district,3,1652.0,arunachal-pradesh,2018
0.0,kamle district,3,65.0,arunachal-pradesh,2018
0.0,upper siang district,3,646.0,arunachal-pradesh,2018
